,Episode,Winner
0,01x01,Tied
1,01x02,Lee Mack
2,01x03,David Mitchell
3,01x04,Lee Mack
4,01x05,David Mitchell
5,01x06,David Mitchell
6,02x01,David Mitchell
7,02x02,David Mitchell
8,02x03,Lee Mack
9,02x04,David Mitchell
10,02x05,Lee Mack
11,02x06,Lee Mack
12,02x07,David Mitchell
13,02x08,David Mitchell
14,03x01,Tied
15,03x02,Tied
16,03x03,Lee Mack
17,03x04,Lee Mack
18,03x05,Tied
19,03x06,David Mitchell
20,03x07,Tied
21,03x08,Lee Mack
22,04x01,Lee Mack
23,04x02,David Mitchell
24,04x03,David Mitchell
25,04x04,Lee Mack
26,04x05,Lee Mack
27,04x06,Lee Mack
28,04x07,David Mitchell
29,04x08,Lee Mack
30,04x10,Lee Mack
31,05x01,Lee Mack
32,05x02,David Mitchell
33,05x03,David Mitchell
34,05x04,Tied
35,05x05,David Mitchell
36,05x06,Lee Mack
37,05x07,Lee Mack
38,05x08,Lee Mack
39,06x01,David Mitchell
40,06x02,Lee Mack
41,06x03,Lee Mack
42,06x04,David Mitchell
43,06x05,David Mitchell
44,06x06,Lee Mack
45,06x07,David Mitchell
46,06x08,Lee Mack
47,07x01,Lee Mack
48,07x02,David Mitchell
49,07x03,Lee Mack
50,07x04,David Mitchell
51,07x05,Lee Mack
52,07x06,Lee Mack
53,07x07,David Mitchell
54,07x08,Tied
55,07x10,David Mitchell
56,08x01,David Mitchell
57,08x02,Lee Mack
58,08x03,Lee Mack
59,08x04,Lee Mack
60,08x05,Lee Mack
61,08x06,Lee Mack
62,08x07,David Mitchell
63,08x08,Tied
64,08x09,David Mitchell
65,09x01,David Mitchell
66,09x02,David Mitchell
67,09x03,Tied
68,09x04,David Mitchell
69,09x05,Lee Mack
70,09x06,David Mitchell
71,09x07,David Mitchell
72,09x08,David Mitchell
73,09x09,Lee Mack
74,10x01,Lee Mack
75,10x02,David Mitchell
76,10x03,David Mitchell
77,10x04,Lee Mack
78,10x05,David Mitchell
79,10x06,David Mitchell
80,10x07,David Mitchell
81,10x08,David Mitchell
82,10x10,David Mitchell
83,Sp.,Tied
84,11x01,Tied
85,11x02,Lee Mack
86,11x03,Tied
87,11x04,David Mitchell
88,11x05,Lee Mack
89,11x06,David Mitchell
90,11x07,David Mitchell
91,11x08,David Mitchell
92,11x09,Lee Mack
93,12x01,Tied
94,12x02,Lee Mack
95,12x03,David Mitchell
96,12x04,Lee Mack
97,12x05,Lee Mack
98,12x06,David Mitchell
99,12x07,Lee Mack
100,12x08,Lee Mack
101,12x09,David Mitchell
102,13x01,Tied
103,13x02,Lee Mack
104,13x03,Tied
105,13x04,David Mitchell
106,13x05,Lee Mack
107,13x06,David Mitchell
108,13x07,David Mitchell
109,13x08,David Mitchell
110,13x09,David Mitchell
111,13x10,Tied
112,14x01,Lee Mack
113,14x02,Lee Mack
114,14x03,David Mitchell
115,14x04,David Mitchell
116,14x05,Lee Mack
117,14x06,Lee Mack
118,14x07,David Mitchell
119,14x08,David Mitchell
120,14x00,David Mitchell
121,14x10,Lee Mack
122,15x01,David Mitchell
123,15x02,Tied
124,15x03,Lee Mack
125,15x04,David Mitchell
126,15x05,Tied
127,15x06,Tied
128,15x07,Tied
129,15x08,Lee Mack
130,15x09,David Mitchell
131,15x10,Lee Mack
132,16x01,David Mitchell
133,16x02,David Mitchell
134,16x03,David Mitchell
135,16x04,Lee Mack
136,16x05,David Mitchell
137,16x06,David Mitchell
138,16x07,Lee Mack
139,16x08,Lee Mack
140,16x09,Lee Mack
141,16x10,David Mitchell
